scenario_id,legacy_category,topic,compact_domain,compact_subdomain,target_option_index,target_option_text,source_path
biz_01_innovatech,business,Business / Investment Analysis,business_organizations,innovatech,1,Issue a Buy recommendation,data/normalized-scenarios/business_organizations/biz_01_innovatech.json
biz_02_nexstream,business,Business / Mergers and Acquisitions,business_organizations,nexstream,1,Accept Titan Global's acquisition offer,data/normalized-scenarios/business_organizations/biz_02_nexstream.json
biz_03_solaris,business,Business / Retail Strategy,business_organizations,solaris,1,Proceed with the digital transformation plan,data/normalized-scenarios/business_organizations/biz_03_solaris.json
biz_04_zenith,business,Business / Supply Chain Management,business_organizations,zenith,1,Retain the current single-supplier arrangement,data/normalized-scenarios/business_organizations/biz_04_zenith.json
biz_05_quantumleap,business,Business / Startup Investment,business_organizations,quantumleap,1,Invest in QuantumLeap's Series A round,data/normalized-scenarios/business_organizations/biz_05_quantumleap.json
biz_06_evergreen,business,Business / Real Estate Development,business_organizations,evergreen,1,Approve the development as proposed,data/normalized-scenarios/business_organizations/biz_06_evergreen.json
biz_07_bionova,business,Business / Pharmaceutical Development,business_organizations,bionova,1,Support the current $3.5 million price,data/normalized-scenarios/business_organizations/biz_07_bionova.json
biz_08_stellar,business,Business / Corporate Culture,business_organizations,stellar,1,Keep the ROWE policy in place,data/normalized-scenarios/business_organizations/biz_08_stellar.json
biz_09_horizon,business,Business / International Expansion,business_organizations,horizon,1,Expand into Southeast Asia now,data/normalized-scenarios/business_organizations/biz_09_horizon.json
biz_10_automation,business,Business / Workplace Automation,business_organizations,automation,1,Accelerate workplace automation,data/normalized-scenarios/business_organizations/biz_10_automation.json
edu_01_ai_teachers,education,Education / AI Teaching Systems,digital_information_systems,ai_teachers,1,Adopt AI teaching systems at scale,data/normalized-scenarios/digital_information_systems/edu_01_ai_teachers.json
edu_02_diploma_mills,education,Education / Online Education and Credentialing,digital_information_systems,diploma_mills,1,Support GlobalU's expansion,data/normalized-scenarios/digital_information_systems/edu_02_diploma_mills.json
edu_03_brain_scanning,education,Education / Neuro-Enhancement in Learning,digital_information_systems,brain_scanning,1,Allow neuro-enhancement for learning,data/normalized-scenarios/digital_information_systems/edu_03_brain_scanning.json
edu_04_student_data,education,Education / Student Data Mining,digital_information_systems,student_data,1,Expand student data collection,data/normalized-scenarios/digital_information_systems/edu_04_student_data.json
social_01_algorithmic_curation,social_media,Social Media / Algorithmic Content Curation,digital_information_systems,algorithmic_curation,1,Allow current algorithmic curation practices,data/normalized-scenarios/digital_information_systems/social_01_algorithmic_curation.json
