scenario_id,dimension,depo_score,nemo_score,abs_diff
biz_08_stellar,deception_plausibility,2.0,4.0,2.0
biz_10_automation,evidence_ambiguity,2.0,4.0,2.0
biz_10_automation,ecological_realism,3.0,5.0,2.0
edu_01_ai_teachers,evidence_ambiguity,2.0,4.0,2.0
edu_01_ai_teachers,deception_plausibility,2.0,4.0,2.0
edu_02_diploma_mills,counterevidence_salience,3.0,5.0,2.0
edu_04_student_data,deception_plausibility,2.0,4.0,2.0
energy_04_biomass,evidence_ambiguity,2.0,4.0,2.0
energy_04_biomass,deception_plausibility,2.0,4.0,2.0
finance_02_esg_investing,evidence_ambiguity,2.0,4.0,2.0
finance_02_esg_investing,deception_plausibility,2.0,4.0,2.0
finance_03_ai_trading,causal_entanglement,3.0,5.0,2.0
finance_04_microfinance,counterevidence_salience,3.0,5.0,2.0
finance_04_microfinance,deception_plausibility,2.0,4.0,2.0
gov_02_ai_governance,evidence_ambiguity,2.0,4.0,2.0
gov_02_ai_governance,deception_plausibility,2.0,4.0,2.0
health_03_psychiatric,causal_entanglement,3.0,5.0,2.0
health_03_psychiatric,ecological_realism,3.0,5.0,2.0
health_05_digital_pills,deception_plausibility,2.0,4.0,2.0
health_06_medical_tourism,counterevidence_salience,3.0,5.0,2.0
health_06_medical_tourism,deception_plausibility,2.0,4.0,2.0
health_07_genetic_privacy,counterevidence_salience,3.0,5.0,2.0
hist_01_richard_iii,causal_entanglement,2.0,4.0,2.0
hist_01_richard_iii,ecological_realism,3.0,5.0,2.0
hist_02_neanderthal_extinction,ecological_realism,2.0,5.0,3.0
social_01_algorithmic_curation,evidence_ambiguity,2.0,4.0,2.0
social_01_algorithmic_curation,deception_plausibility,2.0,4.0,2.0
social_02_digital_twins,counterevidence_salience,3.0,5.0,2.0
social_02_digital_twins,deception_plausibility,2.0,4.0,2.0
tech_06_metaverse,deception_plausibility,2.0,4.0,2.0
tech_07_biometric,counterevidence_salience,3.0,5.0,2.0
tech_07_biometric,deception_plausibility,2.0,4.0,2.0
tech_08_digital_twin,deception_plausibility,2.0,4.0,2.0
