path,model,n_obs,term,coef,se,pvalue
first_stage.gate_joint,probit,2968,const,-0.995623,2284094.355362,1.0
first_stage.gate_joint,probit,2968,gate_iv_safety_short_gate,-2.995986,0.411121,0.0
first_stage.gate_joint,probit,2968,gate_iv_safety_policy_gate,-14.26338,5.28697897091265e+21,1.0
first_stage.gate_joint,probit,2968,ScenarioComplexity_z,0.12329,0.131501,0.348473
first_stage.gate_joint,probit,2968,attacker_capability_z,-0.18246,5646192.395173,1.0
first_stage.gate_joint,probit,2968,defender_capability_z,0.052408,2158558.882126,1.0
first_stage.gate_joint,probit,2968,context_document_word_count_z,0.290365,0.153764,0.058975
first_stage.gate_joint,probit,2968,__domain_digital_information_systems,-1.243332,0.375727,0.000936
first_stage.gate_joint,probit,2968,__domain_finance_markets,-0.753247,0.274292,0.00603
first_stage.gate_joint,probit,2968,__domain_governance_law_history,0.003774,0.581718,0.994824
first_stage.gate_joint,probit,2968,__domain_health_biomedicine,-1.548989,0.344731,7e-06
first_stage.gate_joint,probit,2968,__domain_physical_infrastructure_environment,-1.15478,0.321291,0.000325
first_stage.gate_joint,probit,2968,__attacker_glm46,1.689243,4231285.602443,1.0
first_stage.gate_joint,probit,2968,__attacker_gptoss120b,0.549038,7034488.757064,1.0
first_stage.gate_joint,probit,2968,__attacker_gptoss20b,0.434889,,
first_stage.gate_joint,probit,2968,__attacker_kimik2,1.205759,5209788.509671,1.0
first_stage.gate_joint,probit,2968,__attacker_mistralsmall32,2.863885,3906972.346329,0.999999
first_stage.gate_joint,probit,2968,__attacker_qwen32b,4.085641,5438081.442983,0.999999
first_stage.gate_joint,probit,2968,__attacker_qwen8b,2.448414,1116263.89166,0.999998
first_stage.gate_joint,probit,2968,__defender_glm46,-0.107186,1012337.570588,1.0
first_stage.gate_joint,probit,2968,__defender_gptoss120b,-0.005407,2887149.851281,1.0
first_stage.gate_joint,probit,2968,__defender_gptoss20b,0.142086,2962488.327891,1.0
first_stage.gate_joint,probit,2968,__defender_kimik2,-0.017334,1472988.661364,1.0
first_stage.gate_joint,probit,2968,__defender_mistralsmall32,0.088883,4621137.276757,1.0
first_stage.gate_joint,probit,2968,__defender_qwen32b,-0.110787,668311.392322,1.0
first_stage.gate_joint,probit,2968,__defender_qwen8b,0.19792,,
first_stage.gate_any_safety_vs_standard,probit,2968,const,-0.986933,766816.703248,0.999999
first_stage.gate_any_safety_vs_standard,probit,2968,gate_iv_any_safety,-3.327063,0.364284,0.0
first_stage.gate_any_safety_vs_standard,probit,2968,ScenarioComplexity_z,0.122795,0.113409,0.278913
first_stage.gate_any_safety_vs_standard,probit,2968,attacker_capability_z,-0.168122,820681.142868,1.0
first_stage.gate_any_safety_vs_standard,probit,2968,defender_capability_z,0.036232,,
first_stage.gate_any_safety_vs_standard,probit,2968,context_document_word_count_z,0.255696,0.136408,0.060862
first_stage.gate_any_safety_vs_standard,probit,2968,__domain_digital_information_systems,-1.128526,0.347202,0.001153
first_stage.gate_any_safety_vs_standard,probit,2968,__domain_finance_markets,-0.657653,0.241585,0.006484
first_stage.gate_any_safety_vs_standard,probit,2968,__domain_governance_law_history,-0.023745,0.496973,0.961892
first_stage.gate_any_safety_vs_standard,probit,2968,__domain_health_biomedicine,-1.435526,0.312641,4e-06
