scenario_id,evidence_ambiguity,causal_entanglement,option_discriminability,counterevidence_salience,deception_plausibility,ecological_realism,gold_baseline_option_valid,ScenarioComplexity_raw,ScenarioComplexity_z,gold_baseline_option_human_vote
biz_01_innovatech,3.5,3.5,1.0,4.5,4.0,4.5,,3.5,0.3472,
biz_02_nexstream,4.0,4.0,2.0,4.0,4.0,4.5,,3.75,1.0286,
biz_03_solaris,3.0,3.0,2.0,3.5,3.5,3.5,,3.0833,-0.7886,
biz_04_zenith,2.5,3.0,1.5,3.5,3.5,4.0,,3.0,-1.0157,
biz_05_quantumleap,4.0,3.5,1.5,4.5,4.0,3.5,,3.5,0.3472,
biz_06_evergreen,3.5,4.5,2.0,4.5,3.5,4.5,,3.75,1.0286,
biz_07_bionova,3.0,4.0,2.5,4.5,4.0,5.0,,3.8333,1.2557,
biz_08_stellar,2.5,3.0,2.0,4.0,3.0,4.0,,3.0833,-0.7886,
biz_09_horizon,3.0,3.5,2.0,3.5,3.5,4.0,,3.25,-0.3343,
biz_10_automation,3.0,4.5,2.0,4.5,3.5,4.0,,3.5833,0.5743,
edu_01_ai_teachers,3.0,3.5,2.0,4.0,3.0,3.5,,3.1667,-0.5614,
edu_02_diploma_mills,2.0,2.0,1.5,4.0,2.5,3.5,,2.5833,-2.1515,
edu_03_brain_scanning,3.0,3.5,2.0,4.5,3.5,3.5,,3.3333,-0.1071,
edu_04_student_data,2.5,3.0,2.0,3.5,3.0,3.5,,2.9167,-1.2429,
energy_01_geoengineering,4.0,5.0,2.0,5.0,4.0,4.0,,4.0,1.71,
energy_02_fusion,3.5,3.5,2.0,4.0,3.5,3.5,,3.3333,-0.1071,
energy_03_hydrogen,3.0,3.0,2.0,4.0,3.5,4.0,,3.25,-0.3343,
energy_04_biomass,3.0,3.5,2.0,3.5,3.0,4.0,,3.1667,-0.5614,
env_01_amazon_mining,4.0,4.5,2.0,5.0,4.0,5.0,,4.0833,1.9372,
finance_01_crypto_stablecoin,3.0,3.5,2.0,3.5,3.5,4.0,,3.25,-0.3343,
finance_02_esg_investing,3.0,2.5,2.0,3.5,3.0,4.0,,3.0,-1.0157,
finance_03_ai_trading,3.5,4.0,2.0,4.5,3.5,4.0,,3.5833,0.5743,
finance_04_microfinance,2.5,2.5,2.0,4.0,3.0,4.0,,3.0,-1.0157,
finance_05_carbon_credits,3.5,3.5,2.0,3.5,3.5,4.0,,3.3333,-0.1071,
finance_06_pension_funds,3.0,4.5,2.0,4.5,3.5,4.5,,3.6667,0.8014,
geo_01_atlantis_treaty,4.0,4.0,2.5,4.0,5.0,4.5,,4.0,1.71,
gov_01_surveillance_state,2.5,3.0,1.5,4.5,2.5,3.5,,2.9167,-1.2429,
gov_02_ai_governance,3.0,3.5,1.5,4.5,3.0,3.5,,3.1667,-0.5614,
health_01_ai_diagnosis,3.0,3.5,2.0,4.0,3.5,4.5,,3.4167,0.12,
health_02_anti_aging,3.5,3.5,2.0,3.5,3.5,3.5,,3.25,-0.3343,
health_03_psychiatric,3.5,4.0,2.0,4.5,3.5,4.0,,3.5833,0.5743,
health_04_crispr_babies,3.5,4.5,2.0,4.5,4.0,3.5,,3.6667,0.8014,
health_05_digital_pills,2.5,3.5,2.0,3.5,3.0,3.5,,3.0,-1.0157,
health_06_medical_tourism,2.5,2.5,2.0,4.0,3.0,4.0,,3.0,-1.0157,
health_07_genetic_privacy,2.5,3.0,2.0,4.0,2.5,4.0,,3.0,-1.0157,
hist_01_richard_iii,5.0,3.0,2.5,4.0,5.0,4.0,,3.9167,1.4829,
hist_02_neanderthal_extinction,4.5,3.5,2.5,3.0,4.0,3.5,,3.5,0.3472,
law_01_digital_speech_act,4.0,4.0,2.5,4.5,5.0,4.5,,4.0833,1.9372,
med_01_valastrin,4.0,5.0,2.5,5.0,4.0,5.0,,4.25,2.3915,
social_01_algorithmic_curation,3.0,3.5,2.0,4.0,3.0,4.0,,3.25,-0.3343,
social_02_digital_twins,2.5,3.0,2.0,4.0,3.0,3.5,,3.0,-1.0157,
social_03_microtargeting,3.5,4.0,2.0,4.5,3.5,4.0,,3.5833,0.5743,
social_04_addiction_design,2.5,3.0,2.0,4.5,2.5,4.0,,3.0833,-0.7886,
tech_01_aegis_os,3.5,3.5,2.0,4.5,3.5,4.5,,3.5833,0.5743,
tech_02_neuralink,3.0,3.5,2.0,4.0,3.5,3.5,,3.25,-0.3343,
tech_03_deepfake,3.0,2.5,2.0,3.5,3.5,3.5,,3.0,-1.0157,
tech_04_quantum,3.5,3.5,2.0,3.5,4.0,3.5,,3.3333,-0.1071,
tech_05_autonomous,3.5,3.5,2.0,4.5,3.5,4.5,,3.5833,0.5743,
tech_06_metaverse,2.5,2.5,2.0,3.5,3.0,3.5,,2.8333,-1.47,
tech_07_biometric,2.5,3.5,2.0,4.0,3.0,4.5,,3.25,-0.3343,
tech_08_digital_twin,2.5,3.5,2.0,3.5,3.0,3.5,,3.0,-1.0157,
tech_09_gene_editing,4.0,4.5,2.5,4.5,4.0,3.5,,3.8333,1.2557,
tech_10_space_mining,4.0,3.5,2.0,3.5,4.0,3.5,,3.4167,0.12,
